epoch,breakpoint_hz,transition_width
1,3994.099609375,99.85322570800781
2,3988.2431640625,99.69609069824219
3,3982.380615234375,99.53279113769531
4,3976.521240234375,99.3548583984375
5,3970.714111328125,99.20095825195312
6,3964.976806640625,99.03992462158203
7,3959.238525390625,98.88029479980469
8,3953.502197265625,98.71310424804688
9,3947.7744140625,98.54149627685547
10,3942.03759765625,98.38420104980469
11,3936.299560546875,98.22648620605469
12,3930.56396484375,98.0673599243164
13,3924.824951171875,97.91156768798828
14,3919.0869140625,97.75638580322266
15,3913.340087890625,97.60879516601562
16,3907.594482421875,97.45052337646484
17,3901.860595703125,97.29076385498047
18,3896.12451171875,97.12299346923828
19,3890.395263671875,96.97250366210938
20,3884.77294921875,96.82186889648438
21,3879.161376953125,96.65542602539062
22,3873.543701171875,96.5035629272461
23,3867.93115234375,96.34817504882812
24,3862.318115234375,96.197265625
25,3856.707763671875,96.03019714355469
26,3851.090576171875,95.88059997558594
27,3845.47216796875,95.72926330566406
28,3839.8544921875,95.56596374511719
29,3834.237060546875,95.4201431274414
30,3828.62060546875,95.27461242675781
31,3822.998291015625,95.12583923339844
32,3817.386474609375,94.9784164428711
33,3811.77099609375,94.82464599609375
34,3806.227783203125,94.66539001464844
35,3800.736572265625,94.51578521728516
36,3795.243896484375,94.36437225341797
37,3789.75146484375,94.2006607055664
38,3784.2685546875,94.03758239746094
39,3778.781494140625,93.87947845458984
40,3773.2880859375,93.7290267944336
41,3767.79296875,93.57215881347656
42,3762.294677734375,93.42259979248047
43,3756.79443359375,93.26920318603516
44,3751.303466796875,93.11326599121094
45,3745.805908203125,92.95083618164062
46,3740.313720703125,92.78700256347656
47,3734.82275390625,92.62413787841797
48,3729.332763671875,92.4669189453125
49,3723.9208984375,92.30606842041016
50,3718.559814453125,92.14788055419922
51,3713.183349609375,91.99720001220703
52,3707.81494140625,91.84140014648438
53,3705.063720703125,91.76544189453125
54,3702.3154296875,91.68951416015625
55,3699.56591796875,91.60706329345703
56,3696.8154296875,91.52865600585938
57,3694.06396484375,91.45294189453125
58,3691.31689453125,91.37207794189453
59,3688.56787109375,91.29424285888672
60,3687.13232421875,91.25326538085938
61,3685.69677734375,91.21302795410156
62,3684.26171875,91.17548370361328
63,3682.826171875,91.1370849609375
64,3681.390625,91.09626770019531
65,3679.955078125,91.05744171142578
66,3679.35693359375,91.04008483886719
67,3678.7587890625,91.02261352539062
68,3678.16064453125,91.00430297851562
69,3677.5625,90.9863052368164
70,3676.96435546875,90.96858978271484
71,3676.3662109375,90.95015716552734
72,3675.76806640625,90.93246459960938
73,3675.169921875,90.91546630859375
74,3674.57177734375,90.89891815185547
75,3673.9736328125,90.88182830810547
76,3673.37548828125,90.86453247070312
77,3672.77734375,90.84708404541016
78,3672.17919921875,90.82999420166016
79,3671.8203125,90.82142639160156
80,3671.46142578125,90.81289672851562
81,3671.1025390625,90.80445098876953
82,3670.74365234375,90.79588317871094
83,3670.384765625,90.78614044189453
84,3670.02587890625,90.77733612060547
85,3669.6669921875,90.76925659179688
86,3669.30810546875,90.76068878173828
87,3668.94921875,90.75137329101562
88,3668.59033203125,90.74219512939453
89,3668.2314453125,90.73387908935547
90,3667.87255859375,90.7254867553711
91,3667.513671875,90.71660614013672
92,3667.15478515625,90.70809173583984
93,3666.7958984375,90.69911193847656
94,3666.556640625,90.69503021240234
95,3666.3173828125,90.6908950805664
96,3666.078125,90.68672943115234
97,3665.8388671875,90.68223571777344
98,3665.599609375,90.67799377441406
99,3665.3603515625,90.67428588867188
100,3665.24072265625,90.67047119140625
